Sigla do Cliente;Nome do cliente;Código do cliente;SE;Número do contrato;Status do contrato no ERP;CNPJ do Cliente;CDIP de Abrangência;e-Carta Integração;Armazenamento;Prazo de Armazenamento;Status do contrato no SGD;Fragmentação
RJM;MINISTERIO DA FAZENDA;7185;SUPERINTENDENCIA ESTADUAL RJ  ;9912297185;Cancelado;00394460010708;Desativado - CDIP/SPM3;Não;Sim;180;Cancelado;Não
DHI;MINISTERIO DA INTEGRACAO E DO DESENVOLVI;3705;SUPERINTENDENCIA ESTADUAL BSB ;9912513705;Ativo;03353358000196;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
ZY;Ministério da Justiça – 7ª Superin DPRF;6353;SUPERINTENDENCIA ESTADUAL PR  ;9912256353;Ativo;00394494011332;CDIP - Curitiba;Não;Sim;30;Ativo;Não
DHM;MINISTERIO DAS COMUNICACOES;6366;SUPERINTENDENCIA ESTADUAL BSB ;9912556366;Ativo;37753638000103;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Sim
DHE;MINISTERIO DAS COMUNICACOES;6489;SUPERINTENDENCIA ESTADUAL BSB ;9912556489;Ativo;37753638000103;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Sim
ME;MINISTÉRIO PÚBLICO DA  BAHIA;1403;SUPERINTENDENCIA ESTADUAL BA  ;9912356237;Ativo;04142491000166;Desativado CDIP/BSB2;Não;Não;180;Ativo;Não
MJ;MINISTÉRIO PÚBLICO DO ESTADO DA BAHIA;1416;SUPERINTENDENCIA ESTADUAL BA  ;9912356237;Ativo;04142491000166;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
RKN;MK PRODUTOS PARA SAUDE LTDA;7887;SUPERINTENDENCIA ESTADUAL RS  ;9912277887;Ativo;97127559000119;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
SRW;MOACIR BIANCHI COM DE ARTIGOS ESPORTIVOS;7175;SUPERINTENDENCIA ESTADUAL SPM ;9912417175;Ativo;27675002000137;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SYB;MOBI LOGISTICA;5837;SUPERINTENDENCIA ESTADUAL SPM ;9912485837;Ativo;08800009000199;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SUB;MONTE APRAZIVEL GABINETE PREFEITO;7008;SUPERINTENDENCIA ESTADUAL SPI ;9912457008;Ativo;53221701000117;CDIP/SPM4;Sim;Sim;30;Ativo;Não
MIN;MONTREAL INFORM - MIN;3544;SUPERINTENDENCIA ESTADUAL MG  ;9912283544;Ativo;42563692000126;CDIP - Curitiba;Não;Sim;180;Ativo;Não
SZY;MOTOROLA MOBILITY COM DE PROD ELET LTDA;4069;SUPERINTENDENCIA ESTADUAL SPI ;9912374069;Ativo;01472720000112;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
VR;MPF - MINISTÉRIO PÚBLICO DA UNIÃO;3468;SUPERINTENDENCIA ESTADUAL BSB ;9912393468;Ativo;26989715005090;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
LN;MPL INDUSTRIA E COMERCIO DE ROUPAS LTDA;2033;SUPERINTENDENCIA ESTADUAL GO  ;9912242033;Ativo;08007677000163;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Não
ESO;MR SOLUCOES GRUPO MRS;3595;SUPERINTENDENCIA ESTADUAL ES  ;9912293593;Ativo;13282814000108;Desativado - CDIP/SPM3;Não;Sim;30;Ativo;Não
DGZ;MRE DEP DE COMUNICACOES E DOCUMENTACAO;5982;SUPERINTENDENCIA ESTADUAL BSB ;9912515982;Ativo;00394536001291;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
PFI;MULTI MARCAS EDITORIAIS LTDA;2774;SUPERINTENDENCIA ESTADUAL PE  ;9912362774;Ativo;00726498000174;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
MIK;MULTIMARCAS CONSORCIOS;5552;SUPERINTENDENCIA ESTADUAL MG  ;9912245552;Ativo;04124922000161;CDIP - Curitiba;Sim;Não;0;Ativo;Não
PRF;MUN DE CORONEL VIVIDA PREF MUN - PRF;4751;SUPERINTENDENCIA ESTADUAL PR  ;9912504751;Ativo;76995455000156;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
BAP;MUN DE PAULO AFONSO BA;2564;SUPERINTENDENCIA ESTADUAL BA  ;9912482564;Ativo;14217327000124;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
HR;MUN. JACAREZINHO - DEMUTRAN;8870;SUPERINTENDENCIA ESTADUAL PR  ;9912707719;Ativo;76966860000146;CDIP - Curitiba;Não;Sim;180;Ativo;Não
AB;MUN PRUDENTOPOLIS - PRUDETRAN;2933;SUPERINTENDENCIA ESTADUAL PR  ;9912352933;Cancelado;77003424000134;CDIP - Curitiba;Não;Sim;180;Ativo;Não
JS;MUN STA TEREZINHA ITAIPU;5670;SUPERINTENDENCIA ESTADUAL PR  ;9912619775;Ativo;75425314000135;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
GV;MUNIC. GOV. VALADARES - NIT;41;SUPERINTENDENCIA ESTADUAL MG  ;9912585508;Ativo;20622890000180;CDIP - Curitiba;Não;Sim;180;Ativo;Não
JM;MUNIC. JOAO MONLEVADE - NIT;2;SUPERINTENDENCIA ESTADUAL MG  ;9912447663;Ativo;18401059000157;CDIP - Curitiba;Não;Sim;180;Ativo;Não
XN;MUNICIPIO DE ALFENAS;9248;SUPERINTENDENCIA ESTADUAL MG  ;9912459043;Ativo;18243220000101;CDIP - Curitiba;Não;Sim;180;Ativo;Não
PZN;MUNICIPIO DE ARAUCARIA;1980;SUPERINTENDENCIA ESTADUAL PR  ;9912391980;Cancelado;76105535000199;CDIP - Curitiba;Não;Sim;30;Ativo;Não
AW;MUNICÍPIO DE ARAXÁ - NIT;3;SUPERINTENDENCIA ESTADUAL MG  ;9912421610;Ativo;18140756000100;CDIP - Curitiba;Não;Sim;180;Ativo;Não
CU;Municipio de Assu;6263;SUPERINTENDENCIA ESTADUAL RN  ;9912493478;Cancelado;08294662000123;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
MGA;MUNICIPIO DE BELO HORIZONTE - SMFA;9263;SUPERINTENDENCIA ESTADUAL MG  ;9912429263;Ativo;18715383000140;CDIP - Curitiba;Não;Não;0;Ativo;Não
BU;MUNICIPIO DE BOQUIM;60;SUPERINTENDENCIA ESTADUAL SE  ;9912523343;Ativo;13097068000182;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
QT;MUNICIPIO DE CARATINGA;9360;SUPERINTENDENCIA ESTADUAL MG  ;9912411096;Ativo;18334268000125;CDIP - Curitiba;Não;Não;180;Ativo;Sim
MGC;MUNICIPIO DE CONFINS;1592;SUPERINTENDENCIA ESTADUAL MG  ;9912534894;Ativo;01006232000110;CDIP - Curitiba;Não;Sim;180;Ativo;Não
CS;MUNICIPIO DE CONGONHAS;7237;SUPERINTENDENCIA ESTADUAL MG  ;9912644553;Ativo;16752446000102;CDIP - Curitiba;Não;Sim;180;Ativo;Não
YQ;MUNICÍPIO DE CONSELHEIRO LAFAIETE;1168;SUPERINTENDENCIA ESTADUAL MG  ;9912612690;Ativo;19718360000151;CDIP - Curitiba;Não;Sim;180;Ativo;Não
SRE;MUNICIPIO DE DRACENA;1870;SUPERINTENDENCIA ESTADUAL SPI ;9912301870;Ativo;44880060000111;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
PIB;MUNICIPIO DE ESPERANTINA;9703;SUPERINTENDENCIA ESTADUAL PI  ;9912459703;Cancelado;06554174000182;Desativado - CDIP/SPM3;Não;Não;;Ativo;Não
RSF;MUNICIPIO DE FARROUPILHA;3495;SUPERINTENDENCIA ESTADUAL RS  ;9912313495;Ativo;89848949000150;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Não
GN;Município de Goianésia;14;SUPERINTENDENCIA ESTADUAL GO  ;9912593621;Cancelado;01065846000172;Desativado CDIP/BSB2;Sim;Sim;180;Ativo;Não
PZX;MUNICIPIO DE GUAIRA;2963;SUPERINTENDENCIA ESTADUAL PR  ;9912602963;Ativo;77857183000190;CDIP - Curitiba;Não;Sim;30;Ativo;Sim
KL;MUNICÍPIO DE IBIRITÉ;4762;SUPERINTENDENCIA ESTADUAL MG  ;9912435762;Ativo;18715490000178;CDIP - Curitiba;Sim;Sim;180;Ativo;Não
RXX;MUNICÍPIO DE IMBÉ;4351;SUPERINTENDENCIA ESTADUAL RS  ;9912554351;Ativo;90256652000184;Desativado - CDIP/FLN2;Sim;Não;0;Ativo;Não
YE;MUNICIPIO DE IMPERATRIZ - SETRAN;1641;SUPERINTENDENCIA ESTADUAL MA  ;9912447527;Cancelado;06158455000116;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Não
MAS;MUNICÍPIO DE IMPERATRIZ – SETRAN - MA;4116;SUPERINTENDENCIA ESTADUAL MA  ;9912447527;Cancelado;06158455000116;Desativado CDIP/BSB2;Não;Sim;180;Cancelado;Não
IY;MUNICIPIO DE ITABIRA - NIT;1;SUPERINTENDENCIA ESTADUAL MG  ;9912270941;Ativo;18299446000124;CDIP - Curitiba;Não;Não;0;Ativo;Não
PI;MUNICIPIO DE ITABIRITO;3565;SUPERINTENDENCIA ESTADUAL MG  ;9912652933;Ativo;18307835000154;CDIP - Curitiba;Não;Não;180;Ativo;Não
WI;MUNICÍPIO DE ITAJUBÁ;269;SUPERINTENDENCIA ESTADUAL MG  ;9912672225;Ativo;18025940000109;CDIP - Curitiba;Não;Sim;180;Ativo;Não
PEC;MUNICIPIO DE JABOATÂO DOS GUARARAPES;9050;SUPERINTENDENCIA ESTADUAL PE  ;9912513442;Ativo;10377679000196;Desativado - CDIP/FLN2;Não;Não;0;Ativo;Não
JW;MUNICÍPIO DE JACAREÍ;4084;SUPERINTENDENCIA ESTADUAL SPM ;9912364084;Suspenso;46694139000183;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
BAB;MUNICÍPIO DE JEQUIÉ;7747;SUPERINTENDENCIA ESTADUAL BA  ;9912447747;Cancelado;13894878000160;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
BBD;MUNICIPIO DE LAURO DE FREITAS;7992;SUPERINTENDENCIA ESTADUAL BA  ;9912447992;Ativo;13927819000140;Desativado CDIP/BSB2;Não;Sim;30;Ativo;Não
STW;MUNICIPIO DE MACATUBASP;9662;SUPERINTENDENCIA ESTADUAL SPI ;9912689662;Ativo;46200853000178;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
NU;MUNICÍPIO DE MARIANA;8196;SUPERINTENDENCIA ESTADUAL MG  ;9912354237;Ativo;18295303000144;CDIP - Curitiba;Não;Não;0;Ativo;Não
XD;MUNICIPIO DE MATELANDIA;4707;SUPERINTENDENCIA ESTADUAL PR  ;9912454707;Ativo;76206465000165;CDIP - Curitiba;Não;Sim;180;Ativo;Não
RKM;MUNICIPIO DE MENDES;4896;SUPERINTENDENCIA ESTADUAL RJ  ;9912634896;Ativo;28580694000100;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
RJN;MUNICIPIO DE MESQUITA;8543;SUPERINTENDENCIA ESTADUAL RJ  ;9912448543;Cancelado;04132090000125;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
NQ;Município de Morrinhos;11;SUPERINTENDENCIA ESTADUAL GO  ;9912552190;Ativo;01789551000149;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
NE;MUNICÍPIO DE NOVA LIMA;33;SUPERINTENDENCIA ESTADUAL MG  ;9912452309;Ativo;22934889000117;CDIP - Curitiba;Não;Sim;180;Ativo;Não
OU;MUNICÍPIO DE OURO PRETO - NIT;45;SUPERINTENDENCIA ESTADUAL MG  ;9912619937;Ativo;18295295000136;CDIP - Curitiba;Não;Sim;180;Ativo;Não
MBM;MUNICIPIO DE PATOS DE MINAS;1152;SUPERINTENDENCIA ESTADUAL MG  ;9912726966;Ativo;18602011000107;CDIP - Curitiba;Sim;Não;0;Ativo;Sim
QP;MUNICIPIO DE PATROCINIO;60;SUPERINTENDENCIA ESTADUAL MG  ;9912545713;Ativo;18468033000126;CDIP - Curitiba;Não;Sim;180;Ativo;Não
SST;MUNICIPIO DE PAULINIA;1075;SUPERINTENDENCIA ESTADUAL SPI ;9912591074;Ativo;45751435000106;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
YB;MUNICIPIO DE POÇO VERDE;8321;SUPERINTENDENCIA ESTADUAL SE  ;9912680296;Ativo;13106935000107;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
PRD;MUNICÍPIO DE PONTAL DO PARANÁ;4223;SUPERINTENDENCIA ESTADUAL PR  ;9912649629;Ativo;01609843000152;CDIP - Curitiba;Não;Sim;180;Ativo;Não
MBZ;MUNICIPIO DE PONTE NOVA;2730;SUPERINTENDENCIA ESTADUAL MG  ;9912582730;Ativo;23804149000129;CDIP - Curitiba;Sim;Não;30;Ativo;Sim
MM;MUNICÍPIO DE PONTE NOVA - NIT;24;SUPERINTENDENCIA ESTADUAL MG  ;9912582730;Ativo;23804149000129;CDIP - Curitiba;Não;Sim;180;Ativo;Não
ROP;MUNICIPIO DE PORTO VELHO;1983;SUPERINTENDENCIA ESTADUAL RO  ;9912391983;Ativo;05903125000145;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
SZQ;MUNICIPIO DE PRESIDENTE PRUDENTE;6074;SUPERINTENDENCIA ESTADUAL SPI ;9912506074;Ativo;55356653000108;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SSN;MUNICIPIO DE PROMISSAO;2979;SUPERINTENDENCIA ESTADUAL SPI ;9912452979;Ativo;44558856000152;Desativado - CDIP/SPM3;Sim;Não;30;Ativo;Não
PZT;MUNICIPIO DE REALEZA;2165;SUPERINTENDENCIA ESTADUAL PR  ;9912622165;Suspenso;76205673000140;CDIP - Curitiba;Não;Sim;30;Ativo;Sim
BAR;MUNICIPIO DE RIBEIRA DO POMBAL;4734;SUPERINTENDENCIA ESTADUAL BA  ;9912498029;Cancelado;13809397000109;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
SYD;MUNICIPIO DE SANTOS;7961;SUPERINTENDENCIA ESTADUAL SPM ;9912447961;Ativo;58200015000183;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
PZR;MUNICIPIO DE SAO JERONIMO DA SERRA;843;SUPERINTENDENCIA ESTADUAL PR  ;9912330843;Cancelado;76290683000120;CDIP - Curitiba;Sim;Sim;180;Ativo;Não
SR;MUNICIPIO DE SAO JOAO DEL REI;9994;SUPERINTENDENCIA ESTADUAL MG  ;9912389994;Cancelado;17749896000109;CDIP - Curitiba;Não;Sim;180;Ativo;Não
MAM;Municipio de São José do Ribamar;7206;SUPERINTENDENCIA ESTADUAL MA  ;9912568496;Cancelado;06351514000178;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
BAF;MUNICIPIO DE SENHOR DO BONFIM;9452;SUPERINTENDENCIA ESTADUAL BA  ;9912580513;Ativo;13988308000139;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
RY;MUNICÍPIO DE SIMÃO DIAS;1636;SUPERINTENDENCIA ESTADUAL SE  ;9912656592;Ativo;13108089000156;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
WD;MUNICÍPIO DE TIMON;9386;SUPERINTENDENCIA ESTADUAL MA  ;9912519386;Ativo;06115307000114;Desativado CDIP/BSB2;Não;Não;;Ativo;Não
OM;MUNÍCIPIO DE TIMÓTEO;5330;SUPERINTENDENCIA ESTADUAL MG  ;9912285330;Ativo;19875020000134;CDIP - Curitiba;Não;Sim;180;Ativo;Não
SQ;MUNICÍPIO DE TRÊS CORAÇÕES;35;SUPERINTENDENCIA ESTADUAL MG  ;9912540552;Ativo;17955535000119;CDIP - Curitiba;Não;Sim;180;Ativo;Não
GOU;MUNICIPIO DE URUACU;5355;SUPERINTENDENCIA ESTADUAL GO  ;9912415355;Suspenso;01219807000182;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
MV;MUNICÍPIO DE VARGINHA - NIT;37;SUPERINTENDENCIA ESTADUAL MG  ;9912445953;Ativo;18240119000105;CDIP - Curitiba;Não;Sim;180;Ativo;Não
GOV;MUNICIPIO DE VIANOPOLIS;9493;SUPERINTENDENCIA ESTADUAL GO  ;9912519493;Ativo;01299692000183;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
EST;MUNICÍPIO DE VITÓRIA ES;6202;SUPERINTENDENCIA ESTADUAL ES  ;9912506202;Ativo;27142058000711;Desativado - CDIP/SPM3;Sim;Não;30;Ativo;Não
DV;MUNICÍPIO DIVINÓPOLIS - NIT;38;SUPERINTENDENCIA ESTADUAL MG  ;9912665214;Ativo;18291351000164;CDIP - Curitiba;Não;Sim;180;Ativo;Não
GH;MUNICIPIO MEDIANEIRA - MEDTRAN;3298;SUPERINTENDENCIA ESTADUAL PR  ;9912573298;Ativo;76206481000158;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
MS;MUNICIPIO SANTA LUZIA - NIT;9;SUPERINTENDENCIA ESTADUAL MG  ;9912409661;Ativo;18715409000150;CDIP - Curitiba;Não;Sim;180;Ativo;Não
SK;MUNICIPIO SAO LOURENCO - NIT;48;SUPERINTENDENCIA ESTADUAL MG  ;9912630551;Ativo;18188219000121;CDIP - Curitiba;Não;Sim;180;Ativo;Não
SL;MUNICÍPIO SETE LAGOAS - NIT;39;SUPERINTENDENCIA ESTADUAL MG  ;9912358332;Ativo;24996969000122;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
MX;(MX-3624) MARCHON BRASIL;3624;SUPERINTENDENCIA ESTADUAL SPM ;9912402553;Ativo;01863205000406;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
TE;NATAL TRIBUNAL DE CONTAS DO ESTADO DO RN;1586;SUPERINTENDENCIA ESTADUAL RN  ;9912410476;Ativo;12978037000178;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
PRV;NEODENT;4920;SUPERINTENDENCIA ESTADUAL PR  ;9912364920;Ativo;00489050000184;CDIP - Curitiba;Não;Sim;180;Ativo;Não
DGN;NEOENERGIA BRASILIA;8292;SUPERINTENDENCIA ESTADUAL BSB ;9912438292;Ativo;07522669000192;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
PFN;NEOENERGIA PERNAMBUCO - CELPE;8388;SUPERINTENDENCIA ESTADUAL PE  ;9912248385;Ativo;10835932000108;CDIP - Curitiba;Sim;Sim;180;Ativo;Sim
PRN;NEOORTHO - PRN;5527;SUPERINTENDENCIA ESTADUAL PR  ;9912675527;Ativo;08365527000121;CDIP - Curitiba;Não;Sim;30;Ativo;Sim
SYG;NESTLE BRASIL LTDA;7011;SUPERINTENDENCIA ESTADUAL SPM ;9912287011;Ativo;60409075012673;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
NH;(NH-1369) PLANUS INFORMÁTICA S/A;1369;SUPERINTENDENCIA ESTADUAL SPM ;9912261368;Cancelado;57988867000114;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SSE;NOTRE DAME INTERMEDICA SAUDE SA;7767;SUPERINTENDENCIA ESTADUAL SPM ;9912327767;Ativo;44649812000138;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
PEN;NOVA COLORADO SA;7748;SUPERINTENDENCIA ESTADUAL PE  ;9912317748;Ativo;14551839000122;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Não
NR;(NR-2913) PLANO DE SAUDE ANA COSTA LTDA;2913;SUPERINTENDENCIA ESTADUAL SPM ;9912412913;Ativo;02864364000145;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
PRM;NU PAGAMENTOS SA;639;SUPERINTENDENCIA ESTADUAL SPM ;9912376639;Ativo;18236120000158;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
XK;NU Pagamentos S/A;6639;SUPERINTENDENCIA ESTADUAL SPM ;9912376639;Ativo;18236120000158;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
RRM;NUCLEO ESTADUAL MINISTERIO DA SAUDE RR;2256;SUPERINTENDENCIA ESTADUAL RR  ;9912562256;Ativo;00394544019609;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Sim
CFD;NUTRINOR RESTAURANTES COLETIVIDADE LTD;2307;SUPERINTENDENCIA ESTADUAL CE  ;9912622307;Suspenso;02139237000183;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
NZ;(NZ-4310) MEDCEL EDITORA E EVENTOS LTDA;4310;SUPERINTENDENCIA ESTADUAL SPM ;9912324310;Cancelado;07164688000194;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
CFG;OAB;7229;SUPERINTENDENCIA ESTADUAL CE  ;9912637229;Ativo;07375512000181;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
PEQ;OAB PERNAMBUCO;9023;SUPERINTENDENCIA ESTADUAL PE  ;9912390235;Ativo;09791484000109;Desativado - CDIP/FLN2;Não;Não;0;Ativo;Não
SSO;OGIST TRANSPORTES LOGISTICA;4511;SUPERINTENDENCIA ESTADUAL SPM ;9912404511;Ativo;00360797000138;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
OL;OI S/A;1037;SUPERINTENDENCIA ESTADUAL RJ  ;9912341037;Ativo;76535764000143;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
OB;OI S/A;1038;SUPERINTENDENCIA ESTADUAL RJ  ;9912341037;Ativo;76535764000143;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SCO;OLIVEIRA E ANTUNES ADV ASSOCIADOS;2855;SUPERINTENDENCIA ESTADUAL SC  ;9912372855;Ativo;02416159000117;Desativado - CDIP/FLN2;Não;Sim;30;Ativo;Não
SSZ;ON RTDPJ;941;SUPERINTENDENCIA ESTADUAL SPM ;9912670941;Ativo;51366708000100;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
STJ;ONCAR SOLUCOES LTDA;4753;SUPERINTENDENCIA ESTADUAL SPI ;9912684753;Ativo;46061488000168;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
OR;ORIENT RELÓGIOS DA AMAZÔNIA LTDA;6738;SUPERINTENDENCIA ESTADUAL AM  ;9912326738;Ativo;05830195000110;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
MHA;OURO BRANCO PREFEITURA GAB DO PREFEITO;8543;SUPERINTENDENCIA ESTADUAL MG  ;9912578543;Ativo;18295329000192;CDIP - Curitiba;Não;Sim;30;Ativo;Não
PZF;OURO VERDE LOCACAO E SERVICO S A;8456;SUPERINTENDENCIA ESTADUAL PR  ;9912338456;Ativo;75609123000123;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
MAL;PACO DO LUMIAR PREF GABINETE DO PREFEITO;7315;SUPERINTENDENCIA ESTADUAL MA  ;9912607315;Ativo;06003636000173;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Sim
GF;PALMAS PREFEITURA;32;SUPERINTENDENCIA ESTADUAL PR  ;9912617916;Ativo;76161181000108;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
RKV;PASA;6088;SUPERINTENDENCIA ESTADUAL RJ  ;9912266088;Ativo;39419809000198;Desativado - CDIP/SPM3;Sim;Não;30;Ativo;Não
PE;PATO BRANCO PREFEITURA MUNICIPAL - PE;50;SUPERINTENDENCIA ESTADUAL PR  ;9912357608;Cancelado;76995448000154;CDIP - Curitiba;Não;Sim;180;Ativo;Não
RNP;PAU DOS FERROS GABINETE DO PREFEITO;3210;SUPERINTENDENCIA ESTADUAL RN  ;9912627360;Suspenso;08148421000176;CDIP - Curitiba;Sim;Sim;30;Ativo;Sim
PEL;PE SEC GABINETE DO SECRETARIO;5608;SUPERINTENDENCIA ESTADUAL PE  ;9912584153;Ativo;10572048000128;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
YS;PEARSON EDUCATION DO BRASIL S.A;9471;SUPERINTENDENCIA ESTADUAL SPI ;9912319430;Ativo;01404158000190;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
YT;PEARSON EDUCATION DO BRASIL S.A;9472;SUPERINTENDENCIA ESTADUAL SPI ;9912319430;Ativo;01404158000190;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
YR;PEARSON EDUCATION DO BRASIL S.A;9470;SUPERINTENDENCIA ESTADUAL SPI ;9912319430;Ativo;01404158000190;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SQM;PEFISA SA;8918;SUPERINTENDENCIA ESTADUAL SPM ;9912289188;Ativo;43180355000112;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
MBP;PEMI CONSTRUTORA S A;7265;SUPERINTENDENCIA ESTADUAL MG  ;9912437265;Ativo;22348247000136;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
BK;Perkons;2541;SUPERINTENDENCIA ESTADUAL RJ  ;9912372541;Ativo;82646332000102;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SVM;PERSONAL NET;5285;SUPERINTENDENCIA ESTADUAL SC  ;9912545285;Ativo;09687900000123;CDIP/FLN3;Não;Sim;180;Ativo;Sim
RJS;PETROBRAS;5442;SUPERINTENDENCIA ESTADUAL RJ  ;9912673553;Ativo;33000167000101;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
PFE;PFE - MUN CABO STO AGOSTINHO;3349;SUPERINTENDENCIA ESTADUAL PE  ;9912613349;Ativo;11294402000162;Desativado - CDIP/FLN2;Sim;Sim;30;Suspenso;Sim
PRA;PGA CONSULTORIA ADM E FINANC LTDA;115;SUPERINTENDENCIA ESTADUAL PR  ;9912255037;Ativo;04325071000115;CDIP - Curitiba;Não;Sim;180;Ativo;Não
PG;(PG-4833) ENEL METROPOLITANA;4833;SUPERINTENDENCIA ESTADUAL SPM ;9912348337;Ativo;61695227000193;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
GOW;PIRACANJUBA PREF GABINETE DO PREFEITO;175;SUPERINTENDENCIA ESTADUAL GO  ;9912600488;Cancelado;01179647000195;Desativado CDIP/BSB2;Sim;Sim;180;Ativo;Não
SUF;PIRACICABA GABINETE PREFEITO;1219;SUPERINTENDENCIA ESTADUAL SPI ;9912521219;Ativo;46341038000129;CDIP/SPM4;Sim;Sim;30;Ativo;Não
MSM;PIRAPORA PREFEITURA GABINETE DO PREFEITO;889;SUPERINTENDENCIA ESTADUAL MG  ;9912420889;Ativo;23539463000121;Desativado - CDIP/SPM3;Não;Não;30;Ativo;Não
PK;(PK-2116)NN RECUPERAÇÃO DE CRÉDITOS LTDA;2116;SUPERINTENDENCIA ESTADUAL SPM ;9912402115;Ativo;10809041000187;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
STU;PLACE TECNOLOGIA E INOVACAO S A;4919;SUPERINTENDENCIA ESTADUAL SPM ;9912684919;Ativo;06032507000103;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
QW;PLAMED PLANO DE ASSISTÊNCIA MÉDICA LTDA;4088;SUPERINTENDENCIA ESTADUAL SE  ;9912274088;Suspenso;15594468000129;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SXI;PLANO HOSPITAL SAMARITANO LTDA;7722;SUPERINTENDENCIA ESTADUAL SPI ;9912377722;Ativo;03011072000122;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
SWS;PLAYTECH TELECOM;4128;SUPERINTENDENCIA ESTADUAL SPM ;9912524128;Ativo;18542135000144;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
